Longitude,Latitude,city,SIC2,SIC3
119.1456311,33.02583444,3208,38,382
106.7349961,26.90282593,5206,30,302
104.9331493,31.95242667,5107,20,202
104.6330191,28.7696748,5115,15,151
106.113283,31.91855166,5108,20,203
103.7608242,29.60095761,5111,33,339
113.737319,34.2129059,4110,36,366
114.6736472,35.47173378,4105,17,171
117.8075903,24.39881682,3506,14,141
116.5813307,36.91914289,3714,38,382
116.9924087,34.89271541,3708,21,211
116.3281614,37.46082593,3714,13,135
116.6782535,36.72345433,3714,13,131
119.2183388,35.77778867,3711,36,366
113.7485744,23.04163137,4419,38,382
112.8016184,22.67531737,4407,33,339
111.0883328,21.90508952,4409,14,141
110.5395915,21.84548226,4409,30,303
112.050946,22.93797569,4453,30,303
116.2712363,23.29235197,4452,38,382
103.6391287,30.99778925,5101,29,292
112.4105622,31.20931625,4211,29,292
114.0947602,30.19411685,4212,26,263
113.3793584,31.71785761,4213,26,264
113.8891676,29.74256074,4212,27,277
113.262266,31.89292221,4213,30,303
113.6333873,31.30435486,4209,33,338
108.2336949,23.23326722,4501,30,303
114.0259737,22.54605355,4403,24,245
120.761431,29.59100803,3306,18,181
125.0218397,46.59670902,2306,19,193
129.2214141,44.90361744,2310,24,245
118.200118,31.12832959,3402,26,266
117.9503456,31.26618539,3402,38,383
118.2998639,31.75756862,3405,30,302
116.7914474,33.96002331,3406,33,331
120.4612481,36.52861364,3702,23,231
103.8294305,36.12375741,6201,26,264
85.61489934,42.12700096,6522,25,252
106.530635,29.54460611,5001,39,392
105.8196788,30.14993297,5002,30,303
113.3926936,34.20030756,4110,10,101
113.3518018,34.80617994,4101,30,303
115.3839833,33.89405051,4116,17,177
121.309555,37.53656156,3706,26,263
117.0317899,35.61576057,3708,24,244
117.0894149,36.18807776,3709,18,182
117.6846669,36.23365413,3712,17,171
118.5173109,35.12703098,3713,13,132
118.3125513,33.42595527,3213,17,171
119.1955728,31.8686365,3211,14,149
118.8281998,33.23520628,3208,36,366
118.2968934,33.95204973,3213,20,202
119.3132951,33.52834897,3208,22,223
120.6394018,31.01484659,3205,19,195
118.8577497,34.15401366,3213,34,342
119.6048502,34.18023854,3209,38,382
119.3684889,33.01379717,3208,34,344
119.5604619,29.83658248,3301,34,344
113.763434,23.04302382,4419,19,192
116.6222097,23.69506541,4452,29,292
114.4106581,23.11353985,4413,29,292
112.050946,22.93797569,4453,30,303
113.9609767,23.07977895,4419,39,397
113.1316953,27.82743293,4302,18,181
113.9647171,28.34311592,4301,26,267
111.9963964,27.7410733,4313,13,135
114.4158675,43.46823822,1504,27,271
114.5161418,37.15957996,1305,13,131
117.2202968,39.17314893,1301,13,131
120.8882983,30.82870654,3304,35,359
119.8194198,30.98335279,3305,17,175
118.6003623,24.90165238,3505,18,181
115.6760824,27.75725844,3611,32,326
115.6760824,27.75725844,3604,26,261
114.7097973,25.85765169,3607,21,211
115.6760824,27.75725844,3611,36,366
115.8336634,28.74430606,3601,39,396
115.2484614,32.90976941,3412,30,303
115.7949776,33.89509912,3415,13,131
116.2235505,33.55794905,3416,24,243
106.1554813,37.32132311,6401,20,202
114.6736472,35.47173378,4105,13,132
114.0897516,33.54930014,4111,22,222
108.5702188,34.86911575,6104,30,303
107.4444445,30.25949845,5002,17,174
117.0249671,36.68278473,3701,30,303
117.6846669,36.23365413,3712,17,171
116.6007976,35.40212166,3708,26,266
108.3396277,28.64229672,5206,26,266
114.1301764,22.66412522,4403,29,292
118.2968934,33.95204973,3213,29,292
118.995589,33.63852725,3208,13,132
119.981861,31.77139674,3204,17,171
119.3927752,34.40683217,3207,20,203
118.8577497,34.15401366,3213,34,342
117.1881066,34.27155343,3203,17,174
119.981861,31.77139674,3204,38,383
120.9658078,31.3289368,3205,36,366
119.981861,31.77139674,3204,35,357
120.3054559,31.57003745,3202,37,376
121.0564113,32.53727108,3206,26,261
117.8012997,39.31073495,1202,31,314
115.9950543,22.96599301,4452,30,303
113.8029377,22.91998719,4419,21,211
112.4105622,31.20931625,4206,30,305
110.7363994,32.86433507,4203,10,101
